OID_,lst_2015sp,lst_2015su,lst_2015au,lst_2015wi,lst_2016sp,lst_2016su,lst_2016au,lst_2016wi,lst_2017sp,lst_2017su,lst_2017au,lst_2017wi,lst_2018sp,lst_2018su,lst_2018au,lst_2018wi,lst_2019sp,lst_2019su,lst_2019au,lst_2019wi,lst_2020sp,lst_2020su,lst_2020au,lst_2020wi,lst_2021sp,lst_2021su,lst_2021au,lst_2021wi,lst_2022sp,lst_2022su,lst_2022au,lst_2022wi,lst_2023sp,lst_2023su,lst_2023au,lst_2023wi
344,26.755583,36.66442298,31.80399854,21.84047024,23.49479192,45.03002693,34.63241009,24.82098368,34.8050201,38.24696624,31.82621567,19.14877949,32.55938096,45.52393082,34.63753712,22.52407424,29.22339344,39.11685233,31.19217296,20.33825045,28.61156786,35.86289729,30.93069443,24.43816544,32.34746372,30.5666753,29.5754495,24.47576366,28.5158633,35.23569062,37.53260006,23.01968714,27.4733672,41.4359789,28.94995184,23.32389092
345,16.18706516,35.33139518,31.55448308,22.79580683,22.14809204,41.89228457,35.1810023,24.49627178,33.68049152,37.94276246,31.36991,20.25792698,30.54445817,35.18783834,33.85481054,25.74384908,30.42653648,37.351445,33.11993624,21.04407158,24.84832784,37.85047592,30.36501212,25.48237055,34.07698184,29.16016007,30.14796785,25.37470292,28.70727242,37.57019828,35.1639122,23.68278302,35.04769952,30.16505795,27.23752382,24.41082128
346,24.8244017,38.80068548,35.0613716,24.19719503,30.50856896,42.61348679,41.56244564,26.84445152,34.64437316,41.83246922,35.18442032,22.03017035,33.3010913,49.23248252,37.08483944,27.27854006,31.65189665,42.70577333,34.53841454,22.50356612,30.01295606,39.63297335,26.96750024,26.92306598,32.54570888,39.33047858,35.25619874,26.70773072,32.6687576,44.04392816,36.92761052,24.72869714,36.69860318,38.41444922,29.82838298,25.67548868
347,14.97025004,30.33424994,30.55471223,22.0899857,23.22818636,42.64424897,37.28479361,23.89982729,31.96977251,38.98867658,30.79397363,19.63242932,31.61942546,35.46127994,33.28741922,22.27114076,28.90209956,38.83144766,29.2165574,20.39293877,27.07345886,34.7024795,29.99928398,24.86199992,41.56244564,34.17610442,30.59572847,24.39373118,29.31738899,4.51452686,34.9075607,22.95474476,26.30782238,36.52257515,25.78657433,22.66079504
348,24.8244017,38.80068548,35.0613716,24.19719503,30.50856896,42.61348679,41.56244564,26.84445152,34.64437316,41.83246922,35.18442032,22.03017035,33.3010913,49.23248252,37.08483944,27.27854006,31.65189665,42.70577333,34.53841454,22.50356612,30.01295606,39.63297335,26.96750024,26.92306598,32.54570888,39.33047858,35.25619874,26.70773072,32.6687576,44.04392816,36.92761052,24.72869714,36.69860318,38.41444922,29.82838298,25.67548868
349,19.14023444,39.54410483,35.8304261,25.12176944,29.31738899,47.8105862,39.7611491,25.92500414,37.96327058,46.09132214,36.55333733,22.96499882,35.83897115,nan,38.52040784,24.63982862,34.23933779,40.14225833,33.63605726,23.62638569,31.34256584,29.55323237,33.72150776,25.7130869,33.78303212,40.33537646,37.7274272,27.3537365,33.06866594,45.15478466,42.03071438,26.90597588,30.857207,43.72947032,29.99586596,26.27364218
350,19.24961108,36.99597092,33.9676052,21.16199327,24.06218324,44.65233572,38.61953042,24.021167,35.22201854,41.09075888,31.14432068,19.1333984,32.84991266,45.51367676,33.97444124,24.10319948,30.62136362,40.82757134,32.60723324,19.97935835,28.76196074,37.67273888,28.94995184,23.75456144,32.71319186,32.9421992,32.1902348,22.78213475,28.65600212,37.34802698,37.51892798,21.68836835,31.17508286,41.07025076,27.80662415,22.37026334
351,15.92387762,34.01203946,32.09623925,22.33950116,21.92250272,41.3676185,37.14978182,22.98892496,32.33720966,37.95130751,30.97000166,19.38120485,29.29858988,34.8392003,33.42755804,25.53534986,30.04371824,36.28160474,32.57647106,20.76721196,25.81904552,37.52747303,30.70168709,24.47576366,33.02423168,28.01341436,29.15845106,24.84832784,28.44066686,1.93733978,33.76594202,23.12222774,30.41628242,21.44739794,27.37253561,23.88102818
352,16.75445648,35.58774668,34.24446482,22.8077699,28.16380724,42.31441004,38.52553487,24.7731314,31.33231178,39.92179604,32.30473847,20.16564044,33.30450932,48.5112803,34.3435874,26.4308711,30.85549799,40.57805588,31.1648288,21.6114629,29.9001614,38.718653,25.42597322,24.38176811,32.81573246,37.56165323,33.44123012,24.14421572,31.82792468,42.8715473,35.90733155,23.67252896,35.03744546,37.24035935,27.04440569,23.6622749
353,19.14023444,39.54410483,35.8304261,25.12176944,29.31738899,47.8105862,39.7611491,25.92500414,37.96327058,46.09132214,36.55333733,22.96499882,35.83897115,nan,38.52040784,24.63982862,34.23933779,40.14225833,33.63605726,23.62638569,31.34256584,29.55323237,33.72150776,25.7130869,33.78303212,40.33537646,37.7274272,27.3537365,33.06866594,45.15478466,42.03071438,26.90597588,30.857207,43.72947032,29.99586596,26.27364218
